category,item,itemLabel
Category:Mass media theorists,http://www.wikidata.org/entity/Q349069,Adam Curtis
Category:Mass media theorists,http://www.wikidata.org/entity/Q378116,Régis Debray
Category:Mass media theorists,http://www.wikidata.org/entity/Q385415,Jean-Jacques Lebel
Category:Mass media theorists,http://www.wikidata.org/entity/Q394628,Raymond Williams
Category:Mass media theorists,http://www.wikidata.org/entity/Q434839,Edward Bernays
Category:Mass media theorists,http://www.wikidata.org/entity/Q436131,Neil Postman
Category:Mass media theorists,http://www.wikidata.org/entity/Q447776,Ignacio Ramonet
Category:Mass media theorists,http://www.wikidata.org/entity/Q495875,Byung-Chul Han
Category:Mass media theorists,http://www.wikidata.org/entity/Q516614,Bracha L. Ettinger
Category:Mass media theorists,http://www.wikidata.org/entity/Q543559,Kalle Lasn
Category:Mass media theorists,http://www.wikidata.org/entity/Q636191,Jack Goody
Category:Mass media theorists,http://www.wikidata.org/entity/Q705089,John Fiske
Category:Mass media theorists,http://www.wikidata.org/entity/Q716367,Lev Manovich
Category:Mass media theorists,http://www.wikidata.org/entity/Q717884,Douglas Rushkoff
Category:Mass media theorists,http://www.wikidata.org/entity/Q722347,Walter J. Ong
Category:Mass media theorists,http://www.wikidata.org/entity/Q742827,Colin McGinn
Category:Mass media theorists,http://www.wikidata.org/entity/Q747459,Gene Youngblood
Category:Mass media theorists,http://www.wikidata.org/entity/Q912704,Brian Massumi
Category:Mass media theorists,http://www.wikidata.org/entity/Q919837,Noël Carroll
Category:Mass media theorists,http://www.wikidata.org/entity/Q950610,Edmond Couchot
Category:Mass media theorists,http://www.wikidata.org/entity/Q950635,Pierre Lévy
Category:Mass media theorists,http://www.wikidata.org/entity/Q960136,Bernard Miège
Category:Mass media theorists,http://www.wikidata.org/entity/Q971582,Henry Flynt
Category:Mass media theorists,http://www.wikidata.org/entity/Q1082786,Christiane Paul
Category:Mass media theorists,http://www.wikidata.org/entity/Q1098762,Claus Pias
Category:Mass media theorists,http://www.wikidata.org/entity/Q1154635,Dallas Walker Smythe
Category:Mass media theorists,http://www.wikidata.org/entity/Q1170205,Erin Manning
Category:Mass media theorists,http://www.wikidata.org/entity/Q1209700,Dick Higgins
Category:Mass media theorists,http://www.wikidata.org/entity/Q1241820,Robert Puzser
Category:Mass media theorists,http://www.wikidata.org/entity/Q1351078,Gilles Lipovetsky
Category:Mass media theorists,http://www.wikidata.org/entity/Q1460571,Pierre Restany
Category:Mass media theorists,http://www.wikidata.org/entity/Q1565655,Joe Trippi
Category:Mass media theorists,http://www.wikidata.org/entity/Q2022296,Patti Valkenburg
Category:Mass media theorists,http://www.wikidata.org/entity/Q2442820,Tony Schwartz
Category:Mass media theorists,http://www.wikidata.org/entity/Q2519220,Armand Mattelart
Category:Mass media theorists,http://www.wikidata.org/entity/Q2594792,Wulf Herzogenrath
Category:Mass media theorists,http://www.wikidata.org/entity/Q2919816,Elihu Katz
Category:Mass media theorists,http://www.wikidata.org/entity/Q2939352,Carlos Ginzburg
Category:Mass media theorists,http://www.wikidata.org/entity/Q2942032,Catherine Perret
Category:Mass media theorists,http://www.wikidata.org/entity/Q3026588,Dick Hebdige
Category:Mass media theorists,http://www.wikidata.org/entity/Q3086831,Fred Forest
Category:Mass media theorists,http://www.wikidata.org/entity/Q3181861,John Kenneth Muir
