"","keyword","tf","df"
"725","Amitav Ghosh",2,1
"726","Anthony Trollope",2,1
"727","Anthony Wilden",1,1
"728","Antonio Negri",1,1
"729","Arnold Schoenberg",1,1
"730","Asante",1,1
"731","Auguste Comte",1,1
"732","Aviezri Fraenkel",1,1
"733","Azfar Hussain",1,1
"734","Balakrishnan",1,1
"735","Barbour",1,1
"736","Bataille",1,1
"737","Bateson",1,1
"738","Baudrillard",1,1
"739","Beauvoir",2,1
"740","Beebe",1,1
"741","Benford",2,1
"742","Benincasa",1,1
"743","Bennington",1,1
"744","Berardi",1,1
"745","Bernard Stiegler",1,1
"746","Bernardi",1,1
"747","Bersani",1,1
"748","Bettelheim",1,1
"749","Bill Nichols",1,1
"750","Bonini",1,1
"751","Bonitzer",1,1
"752","Bose",2,1
"753","Bourgeois",1,1
"754","Braudy",2,1
"755","Brenner",2,1
"756","Brian O'Connor",1,1
"757","Bronner",1,1
"758","Buick",2,1
"759","Burch",5,1
"760","Burkhart",2,1
"761","Bushnell",1,1
"762","Califia",1,1
"763","Callinicos",1,1
"764","Carrera",2,1
"765","Casagrande",1,1
"766","Cass Sunstein",1,1
"767","Caus",1,1
"768","Chantal Mouffe",1,1
"769","Char Davies",1,1
"770","Chesebro",1,1
"771","Chiari",1,1
"772","Chua",2,1
"773","Claus Pias",1,1
"774","Clover",1,1
"775","Colebrook",2,1
"776","Colletti",1,1
"777","Comte",1,1
"778","Cone",1,1
"779","Confucius",1,1
"780","da Firenze",1,1
"781","Dantzig",1,1
"782","Dasgupta",1,1
"783","David Kolb",1,1
"784","David Lewin",1,1
"785","de Lauretis",1,1
"786","de Sola Pool",1,1
"787","Dehn",7,1
"788","Di Benedetto",1,1
"789","Dick Higgins",1,1
"790","Dollimore",1,1
"791","Dominic Pettman",1,1
"792","Don Kulick",1,1
"793","Donnelly",1,1
"794","Doty",7,1
"795","Dumain",1,1
"796","Edelstein",3,1
"797","Edgeworth",1,1
"798","Edward Bernays",1,1
"799","Egan",1,1
"800","Ehrmann",8,1
"801","Elsaesser",2,1
"802","Eric McLuhan",1,1
"803","Erlich",1,1
"804","Ernst Bloch",1,1
"805","Fano",2,1
"806","Fanti",2,1
