"","keyword","tf","df"
"391","Kostka",23,11
"392","Lim",17,11
"393","Marchionini",20,11
"394","Noah Wardrip-Fruin",11,11
"395","Powers",14,11
"396","Richter",16,11
"397","Samuel Taylor Coleridge",15,11
"398","Schiller",18,11
"399","Tanaka",29,11
"400","Christie",47,10
"401","Claude Shannon",15,10
"402","Epstein",25,10
"403","Gilles Deleuze",11,10
"404","Grundy",12,10
"405","Holman",12,10
"406","Julia Kristeva",11,10
"407","Macaulay",13,10
"408","Montaigne",15,10
"409","Muir",28,10
"410","Mumford",12,10
"411","Muñoz",15,10
"412","Quine",17,10
"413","Rao",10,10
"414","Sand",34,10
"415","Sartre",23,10
"416","Schulz",22,10
"417","Sekine",18,10
"418","Shoemaker",14,10
"419","Abrams",13,9
"420","Edelman",15,9
"421","Fink",23,9
"422","Gill",9,9
"423","Guattari",16,9
"424","Hanley",18,9
"425","Hassan",30,9
"426","Hinton",10,9
"427","Landau",18,9
"428","Lyman",9,9
"429","Nei",13,9
"430","Paik",9,9
"431","Parikka",28,9
"432","Pérez",16,9
"433","Pollock",18,9
"434","Ramirez",38,9
"435","Reddy",13,9
"436","Silverman",14,9
"437","Vitruvius",19,9
"438","Wiggins",15,9
"439","Auden",10,8
"440","Benveniste",18,8
"441","Bode",42,8
"442","Buckingham",18,8
"443","Burch",16,8
"444","Carey",12,8
"445","Carver",18,8
"446","Cixous",26,8
"447","Clemens",11,8
"448","Dawkins",22,8
"449","Eyman",13,8
"450","Garrard",23,8
"451","Glover",10,8
"452","Grossman",11,8
"453","Habermas",15,8
"454","Kleene",12,8
"455","Lindquist",12,8
"456","McKee",16,8
"457","McMillan",11,8
"458","Mead",9,8
"459","Morse",14,8
"460","of Cologne",8,8
"461","Pain",14,8
"462","Ruskin",48,8
"463","Sherry Turkle",12,8
"464","Speer",15,8
"465","Suzuki",23,8
"466","Thacker",21,8
"467","Tilton",21,8
"468","Trollope",43,8
"469","Welch",11,8
"470","Wittig",29,8
"471","Alberti",72,7
"472","Baudrillard",15,7
"473","Belle",10,7
"474","Bourdieu",15,7
"475","Cherubini",7,7
"476","Chow",10,7
"477","Cliff",15,7
"478","Confucius",8,7
"479","Dun",10,7
"480","Freire",20,7
"481","George Gerbner",16,7
"482","George Orwell",8,7
"483","Harold Innis",7,7
"484","Hawkes",79,7
"485","Jacques Lacan",10,7
"486","John von Neumann",9,7
"487","Kling",70,7
"488","Lenin",9,7
"489","Lyotard",9,7
"490","Marder",7,7
"491","McBride",7,7
"492","Mercator",8,7
"493","Mikhail Bakhtin",8,7
"494","Norbert Wiener",9,7
"495","Raymond Williams",12,7
"496","Rodgers",12,7
"497","Schaeffer",10,7
"498","Starr",8,7
"499","van Leeuwen",13,7
"500","Waugh",15,7
"501","Wunsch",16,7
"502","Youngblood",11,7
"503","Agricola",9,6
"504","Blondel",6,6
"505","Bruns",11,6
"506","Burnham",15,6
"507","Caplan",12,6
"508","David Bolter",7,6
"509","Draper",7,6
"510","Earl of Oxford",7,6
"511","Fischler",8,6
"512","Goody",10,6
"513","Harder",8,6
"514","Haywood",45,6
"515","Jacques Rancière",6,6
"516","Jussi Parikka",6,6
"517","Kiesler",18,6
"518","Krippendorff",15,6
"519","Lara",13,6
"520","Lefebvre",17,6
"521","Mackay",7,6
"522","Moravia",7,6
"523","Padova",9,6
"524","Paulo Freire",6,6
"525","Prosser",6,6
"526","Quincy",8,6
"527","Quintilian",23,6
"528","Rancière",22,6
"529","Rapaport",6,6
"530","Resnick",8,6
"531","Rodrigues",8,6
"532","Sim",34,6
"533","Slide",8,6
"534","Sternberg",11,6
"535","Todorov",7,6
"536","Warren Weaver",8,6
"537","Willems",12,6
"538","Wolfgang Ernst",8,6
"539","Arnheim",10,5
"540","Arrow",8,5
"541","Blackmore",5,5
"542","Bordwell",19,5
"543","Bradbury",16,5
"544","Braudel",5,5
"545","Cheney",6,5
"546","Cooke",7,5
"547","Dworkin",22,5
"548","Elias",5,5
"549","Ferrara",6,5
"550","Ferreira",7,5
"551","Francia",8,5
"552","Fredric Jameson",5,5
"553","Gage",9,5
"554","Haskell",5,5
"555","Herbst",8,5
"556","Hussain",10,5
"557","Ince",8,5
"558","Jean Baudrillard",5,5
"559","John Ruskin",6,5
"560","Jónsson",17,5
"561","Jürgen Habermas",5,5
"562","Kerr",5,5
"563","Kleinberg",11,5
"564","Knapp",5,5
"565","Kolb",6,5
"566","Lampert",5,5
"567","Lavoie",6,5
